ORDER_ID,on.time,in_full,OTIF
FMR32103503#@$,1.0,0.0,0.0
FMR34103403,1.0,-1.0,0.0
ID_FMR32103602#@$,1.0 units,0.0,0.0
Fmr33103602,1.0,0.0,0.0
FMR33103401,1.0,0.0,0.0
Fmr34903603,1.0,0.0,0.0
FMR32903403,1.0,0.0,0.0
FMR33903601,1.0 units,0.0,nan units
FMR32702601,1.0,0.0,0.0
FMR34702502,1.0,0.0,0.0
FMR34702602,1.0,0.0,0.0
FMR33702302,1.0,0.0,0.0
ID_  FMR34601402  ,1.0,0.0 units,0.0
FMR33601303,1.0,0.0,0.0
FMR32601103,1.0,0.0,0.0
  FMR33301301  ,1.0,0.0,0.0
Fmr34301602,1.0,0.0 units,0.0
FMR32301603,1.0,0.0 units,0.0
N/A,1.0,0.0,0.0
FMR34621103,1.0,-1.0,0.0
FMR33101403,1.0,0.0,0.0
FMR34102602,-1.0,0.0,
FMR32102602#@$,1.0,0.0,0.0
FMR33902203,1.0,0.0,0.0
FMR34201202,1.0 units,0.0,0.0
FMR33201602,1.0,0.0,0.0
N/A,1.0,0.0,0.0
FMR32202603,1.0,0.0,0.0
FMR34321602,-1.0,0.0,-1.0
FMR33321602,1.0,0.0,0.0
FMR32402602,1.0,0.0,0.0
FMR34402202,1.0,0.0,0.0
FMR32221603,nan units,0.0,0.0
N/A#@$,1.0,0.0,-1.0
FMR34703602,1.0,0.0,0.0
FMR33401603,1.0,0.0,0.0
FMR34622602,1.0,0.0,0.0
fmr32622502,1.0,0.0,0.0
FMR32622503,1.0,0.0,0.0 units
FMR34622101#@$,1.0,0.0,0.0
FMR33320501,1.0,0.0,-1.0
ID_FMR34721503,1.0,0.0,0.0
FMR32721603,1.0,0.0,0.0
FMR34122402,-1.0,0.0 units,0.0
FMR33220603#@$,1.0,0.0,0.0
FMR32220503,1.0,0.0,0.0
FMR34520301,1.0 units,0.0,0.0
FMR32520603,1.0,0.0,0.0
FMR32501601,1.0,0.0,0.0
FMR33501401,1.0,-1.0,0.0
ID_  FMR32503401  ,1.0,0.0,0.0
FMR33503502,1.0,0.0,0.0
FMR33403501,1.0,0.0,0.0
FMR34421301,1.0,0.0,-1.0
FMR32421601,1.0,0.0,0.0
ID_  FMR34303602  ,1.0 units,0.0,0.0
FMR32121102,1.0,0.0,0.0 units
FMR34121501,1.0,0.0,0.0
FMR32522303,1.0,0.0,0.0
ID_FMR33522202,1.0,0.0,0.0
ID_,1.0,0.0 units,0.0 units
NULL,1.0,0.0,0.0
FMR32622402#@$,0.0,0.0,0.0
FMR34201201,0.0,0.0,
FMR32902601,0.0,0.0,0.0 units
FMR32402303,0.0,0.0,0.0
FMR32203101,0.0,0.0,0.0
FMR33320202,0.0 units,0.0,0.0
FMR34902103,-1.0,0.0,0.0
ID_,0.0,0.0,0.0
FMR34720402,0.0,0.0,0.0
Fmr33601202,0.0,0.0,0.0
ID_FMR32903603,0.0 Units,0.0,0.0 units
FMR33521201,0.0,0.0,0.0
FMR34522403#@$,0.0,0.0,-1.0
FMR34522601,-1.0,0.0,0.0 units
FMR34422403,0.0,0.0,0.0
  FMR33422301  #@$,0.0,0.0,0.0
ID_FMR32422503,0.0,0.0,0.0
NULL,0.0,0.0,
FMR32121301,0.0,0.0 units,0.0
FMR32121603,0.0 units,0.0,0.0
FMR32420602,0.0,0.0,0.0
,0.0,0.0,0.0
  FMR34520302  ,0.0,0.0 units,0.0
NULL,0.0 units,0.0,0.0
FMR34520503,0.0,0.0,0.0
FMR34520602,0.0,0.0,0.0
FMR33520601,0.0,0.0,0.0
fmr32520302,0.0,0.0,0.0
FMR32421203,0.0,,0.0
  FMR33421203  ,0.0,0.0,0.0
ID_FMR32421102#@$,0.0,0.0,0.0
FMR33421301,0.0,0.0,0.0
FMR34421601,0.0,0.0,0.0
  FMR32421603  ,0.0,0.0,0.0
FMR34122102,0.0,0.0,-1.0
N/A,0.0,0.0,0.0
ID_FMR33122301,0.0 units,0.0,0.0
FMR34122601,0.0,0.0,0.0
  fmr34122303  ,0.0,0.0,-1.0 units
ID_FMR32122401,0.0,0.0,0.0
FMR34422101,0.0,1.0,0.0
FMR32422401,0.0,1.0 units,0.0 units
FMR32301302,0.0,1.0,-1.0
FMR34301103,0.0,1.0,
FMR32102202,0.0,1.0,0.0
FMR33720503,0.0,-1.0,0.0
FMR34720303,0.0 units,,
FMR34320102,,1.0,0.0
FMR33320503,0.0,1.0 units,0.0
FMR32320202,0.0 units,1.0,0.0
FMR32603203,0.0,1.0,0.0
ID_FMR33603603#@$,0.0,,0.0
FMR34603401#@$,0.0,1.0,0.0
N/A#@$,-1.0 units,1.0,0.0
FMR33321601#@$,0.0 units,-1.0,0.0
FMR32321103,0.0,1.0,0.0
FMR32221402,0.0,1.0,0.0
FMR33221402,0.0,1.0,0.0
FMR32202402,0.0,1.0,-1.0
#@$,0.0,1.0 units,-1.0 units
Fmr34621601,0.0,1.0,0.0
FMR33621302,0.0,1.0,0.0
FMR34902102,0.0,1.0,0.0
fmr34101201#@$,,1.0,0.0
FMR33101202,0.0,1.0,0.0
FMR34401402,0.0,1.0,0.0
fmr33402203,0.0,1.0,0.0 units
FMR32601303#@$,0.0 units,1.0,0.0
FMR32522301,0.0,1.0,0.0
FMR33522103,0.0,1.0,0.0
FMR33521502,0.0,1.0 Units,0.0
FMR32521302,0.0,1.0,0.0
FMR32521202,0.0,1.0,-1.0
FMR34121203,0.0,1.0,0.0
FMR34121303,0.0,1.0,0.0
FMR33420203,0.0,1.0,0.0
Fmr34420402,0.0,1.0,0.0
N/A#@$,0.0,1.0,-1.0
FMR33420101,0.0,-1.0 units,0.0
ID_FMR34420501,0.0,1.0,0.0
FMR33402303,1.0 units,-1.0,1.0
FMR33622502,1.0,1.0,1.0
FMR34221301#@$,1.0,1.0,1.0
FMR32221303,1.0,NAN UNITS,
fmr33721603,1.0,1.0,1.0
FMR32320302,1.0,1.0 units,1.0 units
ID_FMR34320602,1.0,1.0,-1.0
N/A,1.0,1.0,1.0
FMR34501203,1.0,1.0,1.0
Fmr32501201#@$,1.0 units,,1.0
fmr34401102#@$,1.0,1.0,1.0
FMR34401503,1.0,,1.0
FMR32401103,-1.0,1.0,1.0
FMR32720302,1.0,1.0,1.0 units
