ORDER_ID,customer.id,order_placement_date
  N/A  ,789203.0,"  TUESDAY, MARCH 1, 2022  "
FMR32320302,ID_-1.0,
FMR33320501,789320.0,"Tuesday, March 1, 2022"
FMR34220601,789220.0,"Tuesday, March 1, 2022"
FMR33703603#@$,789703.0 UNITS,03/01/2022
Fmr33721603,789721.0 units,03/01/2022
  FMR33420203  ,789420.0 units,"Tuesday, March 1, 2022"
  FMR34420402  #@$,789420.0,"Tuesday, March 1, 2022"
FMR32403401,789403.0,"Tuesday, March 1, 2022"
FMR34121203,ID_789121.0 units,"Tuesday, March 1, 2022"
FMR32501601#@$,789501.0 units,"Tuesday, March 1, 2022"
ID_FMR34501203,-1.0,"Tuesday, March 1, 2022"
FMR34102602,789102.0 units,"Tuesday, March 1, 2022"
FMR33902203,789902.0,03/01/2022
FMR34903603,789903.0,"Tuesday, March 1, 2022"
FMR32421203#@$,789421.0,"Tuesday, March 1, 2022"
FMR33421203,789421.0,03/01/2022
  FMR33402203  ,789402.0,"Tuesday, March 1, 2022"
,ID_789621.0,"Tuesday, March 1, 2022"
  FMR34520301  ,789520.0,"Tuesday, March 1, 2022"
FMR33702302,789702.0,"TUESDAY, MARCH 1, 2022"
FMR34603302,789603.0,"TUESDAY, MARCH 1, 2022"
FMR34721502,ID_789721.0,"  Tuesday, March 1, 2022  "
FMR33621302,789621.0 units,"Tuesday, March 1, 2022"
FMR32520302,789520.0,"tuesday, march 1, 2022"
  fmr33520601  ,789520.0,"Tuesday, March 1, 2022"
FMR34520302,789520.0,"Tuesday, March 1, 2022"
FMR32420602,-1.0,"Tuesday, March 1, 2022"
  FMR32902402  ,789902.0,"Tuesday, March 1, 2022"
ID_FMR32521302,789521.0,"Tuesday, March 1, 2022"
FMR32720302,789720.0 units,"Tuesday, March 1, 2022"
  FMR33401603  ,789401.0,"Tuesday, March 1, 2022"
FMR33121302,789121.0,"Tuesday, March 1, 2022"
NULL,789903.0,"Tuesday, March 1, 2022"
FMR32422302,789422.0 Units,"Tuesday, March 1, 2022#@$"
  FMR32301302  ,789301.0,"  Tuesday, March 1, 2022  "
FMR32420403,789420.0,03/01/2022
FMR33420301,789420.0,"Tuesday, March 1, 2022"
FMR33122301,789122.0,"Tuesday, March 1, 2022"
Fmr34101301,789101.0,"Tuesday, March 1, 2022"
  fmr33421301  ,789421.0,"Tuesday, March 1, 2022"
Fmr34421301,789421.0,"Tuesday, March 1, 2022"
